marketplace_id,marketplace_name,mkt_created_date,category_id,category_name,category_comments,seller_id,seller_name,seller_address,transaction_date,transaction_value
14,GlobalBay 14,2015-11-10,207,Electronics Section,High priority category for season 2,516,Vendor Alpha 16,"591 Commerce Ave, Suite 16",2024-11-20,1494.25
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,538,Vendor Alpha 38,"152 Commerce Ave, Suite 38",2024-02-19,1105.51
43,GlobalBay 43,2022-09-20,227,Toys Section,High priority category for season 3,503,Vendor Alpha 3,"825 Commerce Ave, Suite 3",2024-04-27,517.17
4,GlobalBay 4,2010-08-28,245,Beauty Section,High priority category for season 2,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-10-23,1665.04
6,GlobalBay 6,2016-07-20,234,Automotive Section,High priority category for season 3,520,Vendor Alpha 20,"942 Commerce Ave, Suite 20",2024-01-16,1005.82
3,RiverTrade 3,2012-06-04,237,Beauty Section,High priority category for season 1,515,Vendor Alpha 15,"781 Commerce Ave, Suite 15",2024-12-05,421.96
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,531,Vendor Alpha 31,"73 Commerce Ave, Suite 31",2024-06-27,1413.09
50,GlobalBay 50,2013-03-02,218,Electronics Section,High priority category for season 4,516,Vendor Alpha 16,"591 Commerce Ave, Suite 16",2024-09-30,34.13
42,QuickMart 42,2020-11-30,245,Beauty Section,High priority category for season 2,539,Vendor Alpha 39,"189 Commerce Ave, Suite 39",2024-11-20,1957.36
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,527,Vendor Alpha 27,"81 Commerce Ave, Suite 27",2024-02-07,328.24
24,GlobalBay 24,2012-01-18,226,Beauty Section,High priority category for season 1,522,Vendor Alpha 22,"16 Commerce Ave, Suite 22",2024-12-22,501.15
25,Amazonia 25,2021-06-26,230,Home & Garden Section,High priority category for season 2,510,Vendor Alpha 10,"401 Commerce Ave, Suite 10",2024-10-20,1011.73
9,RiverTrade 9,2015-12-24,224,Automotive Section,High priority category for season 1,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-07-31,1051.83
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,543,Vendor Alpha 43,"607 Commerce Ave, Suite 43",2024-02-18,686.81
3,RiverTrade 3,2012-06-04,213,Fashion Section,High priority category for season 4,528,Vendor Alpha 28,"724 Commerce Ave, Suite 28",2024-06-23,1804.85
3,RiverTrade 3,2012-06-04,237,Beauty Section,High priority category for season 1,526,Vendor Alpha 26,"444 Commerce Ave, Suite 26",2024-02-28,1855.83
40,eCart 40,2012-06-29,209,Automotive Section,High priority category for season 4,547,Vendor Alpha 47,"224 Commerce Ave, Suite 47",2024-11-09,1748.8
12,GlobalBay 12,2022-07-03,220,Fashion Section,High priority category for season 3,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-10-05,1803.02
37,Amazonia 37,2010-05-29,232,Fashion Section,High priority category for season 2,502,Vendor Alpha 2,"811 Commerce Ave, Suite 2",2024-03-28,618.41
43,GlobalBay 43,2022-09-20,201,Books Section,High priority category for season 3,548,Vendor Alpha 48,"490 Commerce Ave, Suite 48",2024-08-29,1065.29
27,QuickMart 27,2022-07-07,231,Fashion Section,High priority category for season 3,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-02-02,211.83
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,520,Vendor Alpha 20,"942 Commerce Ave, Suite 20",2024-10-28,329.11
